doll name,脖围,肩宽（默认含手臂）,胸围（默认中胸）,腰围,臀围,臂长（肩到手腕）,大臂围,腿长（裆到脚底）,大腿围,小腿围,脚长,脚宽,备注
dfh窈窕体,7,9.7,17.8,12.4,20.2,13,5.7,23.5,12.4,8.6,5.6,2.1,
dfh纤细体,6.8,8.4,17.3,13,19.3,13,,24,12,8.6,5.2,2.1,小胸：17，蜜桃：18.5
xaga c,6.5,8.2,17.7,12.4,20,12.5,,24.5,11,7.5,5.5,2.2,
xaga 月影,5.7,8.6,14.8,10.2,19.5,13,4.4,27,,,5.5,1.7,
xaga 星月体,6.5,9.8,18.5,13.2,21.4,13.3,,26,12,8.1,5.6,2.2,小胸：18.2，大胸：19.6，C胸：21.5
xaga 爱心体,7.3,7.9,14,14,23,12,,24,13.2,,5.5,2.2,
珊瑚礁鲸鱼体,6.1,8.2,15.5,11.6,21.1,,,25.5,12,7.7,5,2,宽肩：9，大胸：18
珊瑚礁鲸鲨体,6.7,10.3,20.8,13.1,22.7,13,5.6,27,12,8.3,5.5,2.1,小胸：19.8，大胸：21
冰洁体,6.5,8.3,16.6,11.6,21,12.5,6.4,25.5,12,8.5,5.3,2.2,宽肩：9.2，大胸：18.5
雪豹体,7,9.8,18,13,21.5,13.3,,25,,,5.3,2.2,大胸：19.5
维密体,7,9.8,19,13,20,13.2,5.5,22.5,11.3,7.5,5.7,2.1,
奶糖体,6.5,9.5,18,11.8,20.1,,,23,11.5,7.2,5.5,2,
魔岛G01,6.8,9,20,13,21,13,,23.6,11.8,8.2,5.2,2,
fc三代玫瑰体,6.7,9.6,20.2,13.7,21,13.2,5.3,22.3,11.5,7.4,5.4,2.2,小胸：19，大胸：20.8，超大胸：21.2
咩咩姐姐体,6.7,9.4,17.5,12.5,19,13,5.2,21.5,10.8,8.1,5.5,2.3,腿长到脚踝
soom女体,6.8,7.5,16.7,11.6,18.4,12,,25.5,10.5,7.4,5.5,2.7,
msd,,,18.3,14.6,19,14,,20,,,5.5,2.7,小胸：18.2
ae四分,6.3,8.8,16.8,13.6,20.5,11.9,,21.2,12,,5.6,2.2,
ae绵绵体,6.5,9,18.4,14.1,21.6,13.3,,22.3,13.5,,5.3,2,大胸：19.4，勒肉腿围：13.6
gl圆润,7,8.2,17.3,13,19.8,11.5,,21,11.2,8,5.3,2.2,小胸：16，大胸：18
gl大四,6.6,9.4,18.2,12.3,19.2,12.2,,24.6,11.6,7.7,5.2,2.2,小胸：17.6，大胸：20.7
gem温莎2代,6.7,9.5,19,12.8,21,13.7,,27,12.7,,5.4,2.2,
mdd,,,17,13.5,18.5,,,21,,,,,小胸：15.5，大胸：18.3
大力力普四,6.8,8.65,16.7,13,20,12.5,5.4,21.6,12,8,5.3,2.2,
uf女体,6.6,8.6,18,12.8,20.5,12.2,5.5,22,11.5,8.1,5.2,2.1,
